"t1q16r","t1q17r","t1q18r","t1q19r","t1q20r","t1q21r","t1q22r","t1q23r","t1q24r","t1q33ar","t1q33br","t3q19r","t3q20r","t3q21r","t3q22r","t3q23r","t3q24r","t3q25r","t3q26r","t3q27r","t3q36ar","t3q36br","female"
1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0
NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,1,0,1,0,1,NA,0,1,1,1,1
1,1,NA,1,1,1,0,NA,1,0,0,1,NA,1,1,1,1,0,0,1,0,0,0
0,0,NA,1,1,1,0,1,1,NA,0,1,0,NA,1,NA,1,NA,NA,1,NA,0,0
1,1,0,1,1,1,NA,0,1,1,1,1,1,0,1,NA,1,1,1,1,1,1,0
NA,1,0,NA,NA,0,NA,0,NA,1,1,0,1,0,NA,1,0,0,NA,1,0,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,1,0,0,NA,NA,NA,NA,0,1
0,1,NA,NA,1,0,NA,NA,0,NA,1,NA,1,0,0,1,0,0,1,1,0,0,1
NA,1,0,1,0,1,0,1,1,NA,1,1,1,0,NA,1,1,0,1,1,NA,1,0
0,0,0,0,0,1,0,0,1,1,0,NA,NA,NA,1,1,0,0,0,1,1,0,0
0,1,NA,NA,0,NA,NA,NA,1,1,1,0,1,NA,1,0,NA,NA,1,1,1,NA,1
0,1,0,1,1,0,NA,NA,0,1,0,1,1,NA,0,NA,0,0,NA,NA,0,0,1
1,1,NA,1,0,1,0,0,1,1,NA,1,1,0,1,1,1,1,0,1,1,1,1
1,1,0,1,0,1,0,1,0,1,1,1,1,0,1,1,0,NA,0,0,1,1,0
NA,1,NA,NA,NA,NA,NA,NA,1,0,0,1,1,NA,NA,NA,1,1,1,NA,1,1,0
1,1,NA,1,0,NA,NA,NA,1,NA,NA,0,0,0,1,0,0,NA,NA,NA,0,0,0
NA,1,NA,0,1,NA,NA,NA,0,1,0,1,1,0,1,1,NA,NA,NA,0,1,1,0
0,0,NA,1,0,NA,0,0,1,NA,NA,1,1,1,1,NA,1,1,1,1,1,1,1
1,0,NA,NA,0,0,0,1,0,0,0,1,1,NA,NA,0,0,0,1,0,1,1,0
0,1,0,NA,1,0,0,1,1,1,0,1,1,1,1,1,NA,0,1,1,1,0,0
1,1,NA,1,1,1,0,NA,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1
NA,0,NA,0,NA,0,0,NA,NA,1,NA,1,1,NA,NA,1,1,NA,1,NA,1,NA,1
1,1,1,NA,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0
NA,NA,NA,NA,NA,1,NA,NA,1,1,0,1,1,0,1,1,0,1,NA,0,1,0,0
0,1,0,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0
0,0,0,1,0,1,0,NA,0,1,NA,1,1,0,1,1,1,1,1,0,1,NA,1
1,0,0,NA,1,1,NA,NA,0,1,0,1,1,0,1,1,1,1,1,0,1,0,0
NA,0,0,1,1,1,1,0,NA,1,NA,1,NA,NA,NA,NA,NA,NA,0,1,1,1,1
0,NA,0,1,NA,0,0,NA,1,0,NA,1,1,0,1,1,0,0,0,1,0,NA,0
0,1,0,1,NA,1,NA,NA,0,0,1,0,1,0,1,1,1,1,1,NA,1,1,1
0,1,0,NA,1,0,NA,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1
NA,NA,NA,NA,1,NA,NA,NA,NA,0,0,1,1,NA,NA,NA,1,NA,0,NA,0,NA,1
0,0,NA,1,0,1,NA,0,0,1,NA,1,1,0,NA,1,1,1,0,1,1,1,1
NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,1,1,NA,1,NA,NA,0
0,NA,NA,1,1,NA,1,NA,0,0,1,1,1,0,1,NA,NA,1,1,0,0,0,0
1,0,0,0,1,1,1,0,0,NA,NA,1,0,0,NA,0,1,1,0,1,1,1,0
1,1,NA,NA,1,1,NA,0,0,1,0,NA,NA,NA,NA,0,NA,NA,NA,1,1,0,1
0,1,NA,0,1,NA,NA,NA,1,1,0,1,1,NA,1,0,1,0,1,1,1,0,0
NA,NA,1,NA,0,0,NA,1,0,1,0,NA,NA,1,0,1,1,NA,0,1,1,0,1
0,NA,NA,NA,1,1,0,0,1,1,0,1,1,0,1,1,1,0,0,1,1,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1
NA,1,0,0,0,0,NA,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0
0,1,0,NA,NA,NA,NA,NA,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0
1,1,0,NA,0,1,1,1,1,NA,NA,1,1,0,0,1,1,1,1,1,1,1,0
0,0,NA,0,NA,1,NA,NA,NA,0,NA,1,1,NA,NA,1,1,1,0,1,1,0,1
0,0,NA,0,NA,NA,NA,0,0,1,0,1,0,NA,NA,1,NA,NA,NA,1,1,NA,0
NA,1,0,NA,1,1,1,0,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0
NA,0,0,0,1,NA,NA,0,NA,1,NA,1,1,0,0,1,0,1,0,NA,0,0,1
0,1,NA,NA,1,0,1,0,0,NA,NA,1,1,0,1,1,0,NA,0,1,1,1,1
1,NA,NA,0,1,0,NA,0,0,0,NA,1,1,NA,1,1,1,0,NA,1,1,1,1
NA,1,0,NA,1,1,0,0,1,1,0,0,1,0,0,0,NA,0,0,0,1,0,0
0,NA,NA,1,1,NA,NA,NA,NA,1,NA,1,1,NA,1,1,1,1,1,1,1,1,1
NA,1,NA,NA,0,1,0,0,0,1,0,NA,1,NA,1,1,1,1,NA,1,1,0,1
NA,1,NA,NA,0,1,0,0,1,1,0,1,1,0,1,0,NA,0,1,1,1,0,0
0,0,NA,NA,NA,0,NA,NA,0,1,NA,1,NA,NA,NA,NA,0,NA,NA,NA,0,NA,0
1,NA,1,1,0,NA,0,0,0,1,NA,1,1,0,1,0,0,1,0,0,1,NA,1
1,0,0,NA,NA,1,0,NA,1,1,0,NA,NA,NA,1,NA,1,0,0,NA,1,NA,1
0,1,NA,1,NA,1,0,0,NA,1,0,1,1,0,NA,1,1,0,NA,0,1,0,0
1,0,0,1,NA,1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1
1,NA,NA,NA,1,NA,NA,NA,0,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,1,NA,0
0,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,1,0,0,1,NA,1,1,1,0
0,0,1,1,0,0,0,0,0,1,0,1,0,NA,1,NA,0,NA,NA,0,1,NA,0
1,1,0,NA,NA,1,NA,1,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1
0,1,NA,NA,1,1,0,NA,NA,NA,1,1,1,NA,NA,1,1,1,NA,NA,NA,1,1
0,0,NA,NA,1,0,1,1,1,NA,NA,1,1,1,1,1,0,1,0,0,1,1,0
1,1,NA,NA,1,NA,NA,NA,NA,1,0,0,1,1,1,1,1,1,1,1,1,1,0
0,1,NA,0,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0
1,1,1,NA,1,NA,1,NA,NA,1,NA,1,1,NA,NA,1,0,NA,NA,NA,1,1,1
0,0,0,0,NA,1,0,NA,NA,1,NA,1,1,0,1,NA,1,0,0,1,1,0,1
1,NA,NA,1,1,1,1,NA,0,0,NA,1,1,NA,0,1,1,0,0,0,1,0,1
1,NA,NA,NA,0,1,NA,0,1,0,0,NA,NA,0,1,1,0,0,0,1,0,0,0
0,1,NA,NA,1,1,1,0,1,0,0,NA,NA,0,NA,1,1,0,0,1,1,0,0
0,1,0,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,1,0,1
1,1,1,NA,1,0,0,1,0,1,NA,1,1,0,1,1,0,1,0,1,1,NA,0
1,0,0,1,0,0,NA,1,1,1,NA,0,0,1,0,1,1,1,1,1,1,NA,1
0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
NA,1,0,0,1,NA,1,0,NA,NA,NA,1,1,1,0,1,0,1,1,1,1,1,0
0,1,NA,NA,1,1,NA,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0
NA,1,0,0,1,NA,0,NA,0,1,0,1,1,0,0,1,1,1,0,0,1,1,1
NA,NA,NA,0,NA,1,NA,0,NA,NA,NA,1,1,0,1,1,1,0,NA,0,1,1,1
0,NA,0,NA,1,0,NA,NA,1,1,0,0,1,0,NA,1,1,NA,NA,1,1,0,0
NA,1,0,NA,1,1,NA,NA,1,1,0,1,1,0,1,1,1,0,NA,0,1,1,0
0,0,NA,0,NA,NA,0,NA,0,1,NA,1,0,NA,1,NA,NA,NA,0,NA,1,NA,1
0,1,0,0,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0
NA,1,NA,NA,1,1,1,1,NA,NA,NA,1,1,NA,1,NA,1,NA,0,0,NA,NA,0
NA,1,NA,1,NA,0,1,NA,1,0,NA,NA,0,NA,1,1,NA,NA,1,NA,NA,NA,1
NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1,NA,NA,NA,NA,0,NA,NA,0,1,NA,1,1,0,NA,1,1,NA,NA,1,1,NA,0
NA,NA,NA,NA,0,1,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0
0,NA,NA,NA,1,1,NA,0,1,1,0,NA,NA,NA,NA,0,1,NA,NA,1,1,0,1
NA,NA,0,NA,0,0,NA,NA,1,1,NA,1,0,1,1,1,NA,NA,NA,1,0,NA,1
0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0
1,1,NA,1,0,1,NA,NA,0,1,NA,NA,1,0,1,1,NA,NA,NA,NA,1,NA,1
0,1,0,0,0,0,NA,0,1,1,0,1,1,0,1,0,1,0,NA,1,1,1,1
0,1,1,NA,1,NA,NA,NA,1,1,0,NA,1,0,NA,1,0,1,1,1,1,0,0
0,1,0,0,1,1,1,0,1,0,NA,0,1,0,0,1,1,0,0,1,0,NA,0
1,1,0,0,0,0,1,0,1,1,NA,1,1,0,1,1,0,0,0,1,1,0,0
1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0
0,1,0,0,1,1,1,NA,1,1,NA,NA,1,0,0,1,1,0,0,1,1,1,1
0,1,NA,NA,NA,0,NA,NA,1,1,1,1,1,NA,NA,1,0,1,1,1,1,1,0
NA,0,0,0,1,0,1,0,NA,1,NA,NA,1,0,0,0,1,1,NA,NA,NA,NA,0
0,0,NA,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1
1,1,0,0,1,NA,NA,1,1,1,NA,1,1,1,1,1,1,NA,NA,1,1,1,0
1,1,0,0,0,1,1,NA,0,1,NA,1,1,1,0,0,1,0,0,1,1,1,1
1,0,NA,NA,NA,NA,NA,0,0,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,0,NA,0,0,1,NA,NA,0,1,NA,1,1,0,1,1,1,NA,1,0,0,NA,1
NA,NA,NA,NA,NA,1,1,0,1,1,0,1,NA,NA,1,1,1,0,1,1,1,0,0
0,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0
1,0,1,NA,1,1,1,NA,0,NA,NA,1,1,NA,NA,1,0,1,1,0,1,NA,0
0,NA,0,0,1,0,NA,NA,1,1,0,0,1,NA,1,1,1,0,1,1,1,0,0
1,1,NA,NA,NA,1,NA,NA,0,1,NA,1,1,1,1,1,1,NA,1,1,1,NA,1
1,1,0,NA,NA,1,NA,0,1,1,0,1,1,NA,0,1,0,1,1,1,1,0,0
0,1,0,NA,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0
0,NA,1,1,NA,NA,NA,NA,1,0,1,NA,1,0,1,0,0,0,NA,1,0,1,1
NA,1,0,NA,NA,0,0,0,1,NA,NA,0,1,1,1,1,0,1,NA,1,0,0,0
NA,NA,0,1,1,1,NA,0,1,0,NA,NA,0,NA,NA,1,1,0,0,1,0,0,1
0,1,NA,1,NA,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1
1,1,0,NA,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
1,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,NA,0
1,0,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1
0,0,NA,1,1,0,NA,0,1,1,NA,1,1,NA,1,1,1,NA,1,1,0,0,0
0,1,NA,1,NA,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1
