"knowa1raw","knowb1raw","knowc1raw","knowd1raw","knowe1raw","knowf1raw","knowg1raw","knowh1raw","knowa2raw","knowb2raw","knowc2raw","knowd2raw","knowe2raw","knowf2raw","knowg2raw","knowh2raw","female"
1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0
1,1,1,1,NA,0,1,NA,1,1,1,1,NA,1,1,1,1
1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1
1,1,1,NA,NA,1,0,NA,1,1,1,0,0,1,1,1,1
1,1,1,0,NA,1,NA,0,1,1,1,1,NA,1,1,1,0
0,NA,NA,0,0,1,0,0,0,0,NA,0,1,1,0,1,1
1,1,1,NA,0,1,1,NA,1,1,1,1,0,1,NA,1,0
1,1,1,1,1,1,NA,NA,1,0,1,1,1,1,1,1,0
1,1,1,1,1,1,NA,0,1,1,1,1,1,1,1,1,0
1,0,1,1,0,0,1,NA,1,1,1,1,0,1,0,1,0
1,1,1,NA,NA,NA,NA,NA,1,1,1,NA,1,1,1,NA,0
1,1,1,1,0,1,0,NA,1,1,1,1,0,1,1,1,0
1,1,1,NA,1,1,0,1,1,1,1,NA,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,NA,NA,1,0,1,0,NA,0,0,NA,1,NA,NA,1,1,1
1,1,1,1,1,0,NA,NA,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,1,1,1,NA,1,1,1,1,1
1,1,1,1,1,0,NA,NA,1,1,1,1,1,1,1,1,0
1,0,1,0,0,0,0,1,1,1,1,NA,NA,1,1,1,1
1,1,1,1,1,1,NA,0,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1
1,NA,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,NA,1,0,1,1,1,1,1,1,1,0
1,1,1,0,1,1,0,NA,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
1,NA,1,NA,1,NA,NA,NA,1,1,1,NA,NA,1,1,NA,1
1,1,1,1,1,1,0,NA,1,0,1,1,1,1,1,1,0
1,1,1,1,1,1,NA,0,1,1,1,1,1,1,1,1,1
1,1,1,NA,1,1,0,NA,0,1,1,NA,1,1,NA,1,1
1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
1,NA,1,1,0,1,0,NA,1,1,1,1,NA,0,NA,NA,1
1,0,1,0,1,1,NA,NA,0,0,1,0,1,1,1,1,0
1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,0
NA,0,1,1,1,1,1,0,NA,1,1,0,0,NA,1,NA,0
1,0,NA,NA,1,1,1,NA,1,0,NA,1,NA,1,1,1,1
1,0,1,1,0,NA,NA,NA,1,1,1,NA,0,1,1,1,1
1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0,1,1,0,NA,0,1,1,NA,1,1,1,1,0
1,1,1,NA,1,1,NA,1,NA,1,1,0,1,1,0,1,1
1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0
1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
1,NA,NA,1,NA,1,1,NA,1,1,NA,0,1,1,1,1,1
1,1,1,1,1,1,NA,0,1,1,1,1,1,1,1,1,0
1,0,1,NA,0,1,NA,NA,1,1,1,NA,0,1,1,1,1
1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,NA,1
0,1,1,0,1,1,0,0,NA,1,1,0,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,NA,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
1,1,1,1,NA,1,0,0,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NA,NA,NA,NA,0,0,1,NA,NA,1,NA,1,1,0,1,1,0
1,0,NA,1,1,1,NA,NA,1,1,NA,1,1,1,1,1,1
1,1,1,1,1,0,1,NA,1,0,1,0,1,1,1,0,1
1,NA,1,0,1,1,0,NA,1,1,1,0,NA,1,0,0,1
1,0,1,1,0,1,0,NA,1,1,1,1,0,0,1,NA,0
1,1,1,1,1,1,0,0,1,1,1,1,1,1,NA,1,0
1,0,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1
1,1,NA,NA,NA,0,NA,NA,1,0,NA,NA,NA,1,1,1,1
0,1,NA,NA,0,1,NA,NA,1,0,NA,1,0,1,1,1,1
1,1,1,NA,0,0,1,NA,1,1,1,NA,0,1,1,1,1
1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,0
0,0,1,1,1,0,NA,1,0,1,1,0,1,1,1,1,0
NA,0,1,NA,1,0,0,NA,1,0,1,1,0,0,1,0,0
1,1,0,1,1,1,1,1,1,1,0,1,1,1,NA,1,1
1,1,1,NA,NA,1,NA,NA,0,0,1,1,NA,1,1,1,0
1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0
1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0
1,1,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,0
1,0,1,1,1,1,0,0,1,1,1,1,1,0,NA,0,1
1,1,1,1,1,0,NA,0,1,1,1,1,1,1,1,1,1
1,1,1,1,NA,1,1,0,1,NA,1,1,1,1,1,1,1
1,1,1,1,1,1,0,NA,1,1,1,1,1,1,1,1,0
1,NA,1,1,1,0,0,1,1,1,1,1,1,NA,1,1,1
1,0,0,1,1,NA,NA,NA,1,1,0,NA,1,0,NA,1,0
1,NA,1,1,NA,0,1,NA,1,1,1,0,1,1,1,1,0
1,1,1,1,1,1,NA,0,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0
1,NA,NA,1,1,NA,NA,NA,1,1,NA,1,1,1,1,1,1
0,1,1,0,1,0,0,NA,0,1,1,1,1,0,1,NA,0
1,1,1,1,NA,1,1,NA,1,1,1,0,1,1,1,0,1
1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,0
1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
1,1,1,1,NA,1,0,NA,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0
1,1,1,0,1,1,1,NA,1,1,1,1,1,1,NA,1,0
NA,0,1,NA,NA,1,NA,NA,NA,1,1,NA,0,NA,1,1,0
1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1
1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1
1,1,1,0,1,1,0,NA,1,NA,1,NA,1,1,1,1,1
1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0
1,0,NA,1,0,1,1,NA,1,1,NA,1,0,1,1,NA,0
1,1,1,1,1,1,NA,0,1,1,1,1,1,1,0,1,0
1,1,0,1,0,0,1,0,NA,1,0,1,1,1,1,1,0
0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,NA,0
1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,NA,0
1,1,1,1,0,NA,1,NA,1,1,1,1,0,NA,1,NA,0
NA,0,1,NA,NA,1,NA,NA,1,NA,1,NA,1,1,NA,NA,1
1,1,1,NA,1,1,NA,0,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,NA,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1
1,0,1,NA,0,NA,NA,NA,1,1,1,NA,1,1,0,0,1
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
1,1,NA,0,1,NA,NA,NA,1,1,NA,0,1,1,1,1,1
1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA,1,1
1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,1,1,NA,1,1,0,NA,NA,0,1,1,1,1,0,NA,1
1,0,1,1,1,0,1,NA,1,1,1,NA,1,1,1,1,1
1,1,1,1,NA,0,1,NA,1,1,1,1,0,1,NA,NA,1
1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
1,0,1,1,1,1,NA,0,1,0,1,1,1,1,1,1,1
1,1,1,1,1,1,0,NA,NA,1,1,1,NA,1,1,1,0
1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
1,0,1,1,0,1,0,1,1,0,1,1,0,1,0,0,0
1,NA,NA,0,NA,NA,NA,NA,1,1,NA,1,NA,1,1,NA,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,1,1,1,0,1,1,NA,1,1,1,NA,NA,1,1,1,0
0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,0
NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,1
1,1,1,1,1,1,1,NA,1,0,1,1,1,1,1,1,1
1,NA,1,1,0,1,1,0,1,1,1,NA,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,0
1,0,1,1,1,1,NA,NA,0,1,1,1,0,1,1,1,1
1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,NA,1,1
1,1,1,1,NA,1,1,NA,1,1,1,0,1,1,1,1,1
1,0,1,NA,NA,1,NA,NA,1,1,1,NA,NA,1,NA,1,0
NA,NA,NA,1,1,NA,NA,NA,0,0,NA,0,0,1,1,1,1
1,1,0,NA,1,1,NA,1,1,1,0,1,1,1,1,1,0
1,1,1,0,1,1,NA,1,1,1,1,1,1,1,1,1,0
1,1,1,0,1,1,0,NA,1,1,1,0,1,1,0,1,1
1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1,1,0,NA,1,NA,NA,0,1,1,1,NA,0,NA,1,1
1,0,1,1,1,1,NA,0,1,1,1,1,1,1,NA,1,0
1,1,NA,1,1,1,0,1,1,1,NA,1,1,1,1,1,1
1,0,1,1,1,1,NA,NA,1,1,1,NA,1,1,1,0,1
1,1,1,1,0,1,0,0,1,1,1,1,NA,1,1,1,0
1,1,1,1,NA,1,0,0,1,1,1,1,1,1,NA,1,1
NA,1,1,1,0,1,1,1,NA,1,1,1,0,1,1,1,0
1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0
1,1,1,0,1,1,1,NA,1,0,1,1,1,NA,1,1,0
1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,1,0
1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
1,1,1,1,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1
1,1,1,NA,1,0,NA,NA,1,1,1,NA,NA,NA,1,1,1
1,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,NA,1,1
1,1,NA,1,0,1,1,1,1,1,NA,1,1,1,1,1,1
1,NA,1,0,1,1,NA,0,1,0,1,0,1,1,0,NA,1
1,1,1,1,1,0,1,NA,1,NA,1,NA,NA,1,1,1,1
1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0
1,1,1,NA,0,1,NA,NA,1,NA,1,NA,1,1,1,1,1
1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,NA,1,0
1,1,1,0,1,1,NA,NA,NA,1,1,NA,1,1,1,NA,1
1,1,1,1,1,1,0,NA,1,1,1,NA,1,1,1,1,0
1,1,1,1,1,1,0,NA,0,1,1,1,1,1,1,1,0
1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,0
1,1,1,NA,1,1,NA,NA,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,1,1,0,1,1,0,NA,1,1,1,0,1,1,0,0,0
1,1,1,NA,1,1,NA,0,1,0,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,NA,NA,1,NA,NA,NA,NA,1,1,NA,1,1,1,1,NA,1
1,1,1,1,NA,NA,1,NA,1,1,1,1,1,1,1,1,0
1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,0
1,NA,1,NA,NA,1,0,NA,NA,1,1,0,1,1,NA,1,1
0,1,1,NA,1,1,NA,NA,1,1,1,NA,1,1,1,1,1
1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1
1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,0,0
1,0,1,1,0,1,NA,NA,1,0,1,0,1,1,NA,1,1
1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,NA,1,1,1,1,1,1,0,1,0
NA,0,1,NA,NA,1,NA,NA,0,1,1,0,NA,1,NA,NA,1
1,0,1,1,1,1,0,NA,1,0,1,1,0,1,0,1,1
1,1,1,1,1,1,0,NA,1,1,1,1,1,1,1,1,1
1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1
1,0,0,1,NA,1,0,0,1,0,0,1,1,1,NA,0,1
1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,1,1,0
1,1,NA,0,0,1,1,NA,1,0,NA,1,1,0,1,1,1
0,NA,1,NA,1,1,NA,NA,1,NA,1,NA,NA,1,NA,1,0
1,0,1,1,NA,1,NA,NA,1,1,1,0,1,1,1,1,1
1,1,0,NA,1,1,NA,NA,1,0,0,1,1,1,1,1,1
1,0,0,1,0,0,1,NA,1,1,0,1,0,1,1,1,1
NA,0,1,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1
1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,NA,1,1,NA,1,1,1,1,1,0,1,1,1,1
1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0
1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1
1,NA,1,NA,1,0,1,NA,1,0,1,0,0,1,NA,NA,1
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
1,1,1,1,NA,1,1,NA,1,1,1,1,0,1,1,1,0
1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1,1,1,NA,1,1,NA,NA,1,1,1,NA,1,1,1,1,1
1,NA,1,1,0,NA,NA,NA,1,1,1,NA,NA,1,1,NA,0
1,1,1,1,1,1,0,1,1,1,1,1,0,1,NA,1,0
1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0
0,0,1,1,0,1,0,1,0,0,1,1,1,1,0,1,1
1,1,1,1,1,1,0,NA,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,0,1,NA,NA,1,NA,NA,NA,NA,NA,0
1,1,1,NA,1,0,NA,NA,0,1,1,NA,1,1,1,1,1
1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
1,0,0,NA,1,1,0,0,0,1,0,0,1,1,1,1,0
1,NA,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,NA,0,1,NA,1,1,1,1,NA,1,1
1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,0
1,1,1,1,1,1,0,NA,1,1,1,1,1,1,1,1,1
NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,0
1,1,1,1,0,1,0,NA,1,1,1,1,1,1,1,1,0
1,1,0,1,1,1,NA,1,1,1,0,1,1,1,1,1,0
1,1,1,1,0,1,NA,0,1,1,1,1,1,1,NA,1,1
1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,NA,1,0,1,1,1,1,1,1,1
1,1,1,1,0,1,NA,0,1,1,1,1,1,1,1,0,1
1,1,1,NA,NA,1,NA,NA,1,1,1,0,1,1,0,1,1
1,1,1,1,1,1,NA,NA,1,1,1,0,1,1,1,1,1
0,1,1,NA,0,NA,NA,NA,1,1,1,0,0,1,1,1,1
0,1,1,1,0,1,1,NA,0,0,1,0,NA,1,NA,1,1
1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1
0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0
1,0,1,NA,0,NA,NA,NA,0,1,1,1,1,1,1,1,0
