"rpfact1r","qrfact1r","ggfact1r","prfact1r","busfact1r","welfact1r","flagchg1r","anthem1r","wdroyal1r","pargame1r","rpfact2r","qrfact2r","ggfact2r","prfact2r","busfact2r","welfact2r","flagchg2r","anthem2r","wdroyal2r","pargame2r","female"
0,NA,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1
NA,NA,NA,0,1,0,NA,NA,NA,NA,1,1,0,1,1,1,NA,NA,NA,NA,1
NA,0,NA,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,0
NA,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0
0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,1,1,1,1,0
0,0,1,NA,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0
1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,NA,1,1,1,1,0
0,NA,1,0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,1,1,0
NA,0,1,1,1,0,1,1,1,1,1,0,0,1,1,0,NA,NA,NA,NA,0
NA,NA,1,NA,NA,NA,0,1,0,1,0,1,0,1,1,0,1,1,1,1,0
NA,NA,1,NA,NA,NA,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,0
1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0
0,0,1,0,NA,NA,0,1,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,0
0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
NA,NA,1,0,1,1,1,1,0,0,1,1,1,1,1,NA,1,1,0,0,0
NA,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0
0,1,NA,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0
0,0,1,NA,NA,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0
0,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0
NA,NA,NA,NA,1,0,NA,NA,NA,NA,1,1,NA,1,1,0,1,1,1,1,0
0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0
0,0,1,0,1,0,NA,NA,NA,NA,1,1,1,1,1,0,1,1,1,1,0
0,0,0,0,1,0,0,1,0,0,0,1,NA,1,1,1,0,1,0,1,0
NA,NA,NA,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0
0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,1,0
NA,1,0,NA,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0
1,0,0,1,1,0,NA,NA,NA,NA,1,1,0,1,0,NA,1,1,1,1,0
NA,0,0,1,0,0,1,0,1,1,1,0,1,NA,1,0,1,1,1,1,0
NA,NA,NA,0,NA,NA,0,1,0,1,0,1,0,1,NA,NA,1,1,1,1,1
NA,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1
NA,NA,1,NA,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1
0,1,1,0,1,1,0,0,1,1,1,1,1,1,NA,1,1,1,1,1,1
NA,NA,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1
0,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1
0,0,1,NA,NA,NA,0,0,1,0,1,1,1,1,NA,NA,1,1,1,0,1
NA,NA,NA,0,1,0,0,1,1,0,1,1,1,1,0,0,NA,NA,NA,NA,1
NA,1,0,NA,0,0,0,1,1,1,0,1,1,NA,0,0,0,1,1,0,1
NA,0,1,NA,1,NA,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1
1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
0,1,0,NA,1,1,0,1,1,1,0,1,0,1,1,1,NA,NA,NA,NA,1
NA,NA,1,NA,1,NA,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1
