"t0pk1raw","t0pk2raw","t0pk3raw","t0pk4raw","t0pk5raw","t0pk6raw","t0ppk7raw","t0ppk9raw","t0ppk11raw","t2pk1raw","t2pk2raw","t2pk3raw","t2pk4raw","t2pk5raw","t2pk6raw","t2ppk7raw","t2ppk9raw","t2ppk11raw","female"
1,1,0,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0,NA,1,0,0,NA,1,1,0,1,1,1,1,0,1,1,1
1,1,NA,NA,0,1,1,1,1,1,1,0,1,0,1,1,1,NA,1
NA,NA,NA,0,0,0,1,0,NA,1,NA,1,1,0,1,1,1,1,0
0,0,1,0,0,1,NA,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,NA,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0
1,1,1,0,0,1,1,NA,1,1,1,1,1,1,1,1,1,1,1
NA,NA,NA,1,1,1,0,0,NA,1,0,NA,1,0,1,1,1,1,1
NA,1,0,NA,0,NA,1,1,0,NA,0,0,1,0,1,1,NA,1,0
0,1,0,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1
0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0
0,0,1,1,1,0,1,1,0,1,0,NA,1,1,1,1,NA,NA,0
NA,1,0,NA,1,0,1,0,1,0,1,0,1,1,NA,1,1,1,1
0,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,1,0,1
NA,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA,0
NA,1,0,0,0,0,1,1,1,1,NA,1,1,0,1,1,1,1,0
NA,1,NA,0,1,0,1,0,0,1,1,0,0,1,1,1,NA,0,0
1,1,NA,NA,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0
1,1,0,0,1,1,1,1,0,1,0,NA,0,0,1,1,1,1,1
NA,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,NA,0
1,NA,1,0,1,1,NA,0,1,NA,1,1,0,NA,1,0,1,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
NA,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1
